%LAMBDA nm	HbO2 1/(mm*uM)	Hb 1/(mm*uM)
1262	0.0223	0.0117
1263	0.0223	0.0117
1264	0.0222	0.0117
1265	0.0222	0.0117
1266	0.0221	0.0118
1267	0.0220	0.0119
1268	0.0220	0.0119
1269	0.0219	0.0120
1270	0.0218	0.0121
1271	0.0217	0.0122
1272	0.0216	0.0122
1273	0.0215	0.0123
1274	0.0215	0.0124
1275	0.0214	0.0124
1276	0.0213	0.0125
1277	0.0212	0.0125
1278	0.0211	0.0125
1279	0.0210	0.0126
1280	0.0209	0.0126
1281	0.0208	0.0126
1282	0.0207	0.0127
1283	0.0205	0.0127
1284	0.0204	0.0127
1285	0.0203	0.0127
1286	0.0202	0.0128
1287	0.0200	0.0128
1288	0.0199	0.0129
1289	0.0198	0.0129
1290	0.0196	0.0130
1291	0.0195	0.0131
1292	0.0194	0.0131
1293	0.0192	0.0132
1294	0.0191	0.0133
1295	0.0190	0.0133
1296	0.0188	0.0133
1297	0.0187	0.0133
1298	0.0186	0.0133
1299	0.0184	0.0133
1300	0.0183	0.0133
1301	0.0182	0.0134
1302	0.0181	0.0134
1303	0.0180	0.0134
1304	0.0179	0.0135
1305	0.0178	0.0135
1306	0.0177	0.0135
1307	0.0176	0.0135
1308	0.0174	0.0135
1309	0.0173	0.0135
1310	0.0172	0.0135
1311	0.0171	0.0135
1312	0.0170	0.0135
1313	0.0169	0.0135
1314	0.0168	0.0135
1315	0.0167	0.0135
1316	0.0167	0.0135
1317	0.0166	0.0135
1318	0.0166	0.0135
1319	0.0165	0.0135
1320	0.0165	0.0135
1321	0.0165	0.0135
1322	0.0166	0.0136
1323	0.0166	0.0136
1324	0.0167	0.0136
1325	0.0167	0.0136
1326	0.0169	0.0137
1327	0.0170	0.0137
1328	0.0171	0.0138
1329	0.0172	0.0138
1330	0.0173	0.0138
1331	0.0175	0.0138
1332	0.0176	0.0138
1333	0.0177	0.0138
1334	0.0178	0.0138
1335	0.0179	0.0139
1336	0.0179	0.0139
1337	0.0179	0.0139
1338	0.0180	0.0139
1339	0.0180	0.0140
1340	0.0180	0.0140
1341	0.0181	0.0140
1342	0.0182	0.0141
1343	0.0182	0.0141
1344	0.0183	0.0141
1345	0.0183	0.0142
1346	0.0184	0.0142
1347	0.0184	0.0142
1348	0.0184	0.0142
1349	0.0185	0.0142
1350	0.0185	0.0143
1351	0.0185	0.0143
1352	0.0186	0.0143
1353	0.0186	0.0143
1354	0.0187	0.0144
1355	0.0187	0.0144
1356	0.0187	0.0144
1357	0.0188	0.0144
1358	0.0188	0.0144
1359	0.0189	0.0145
1360	0.0189	0.0145
1361	0.0190	0.0145
1362	0.0191	0.0146
1363	0.0191	0.0146
1364	0.0192	0.0147
1365	0.0193	0.0148
1366	0.0194	0.0148
1367	0.0195	0.0149
1368	0.0196	0.0150
1369	0.0197	0.0150
1370	0.0198	0.0151
1371	0.0199	0.0152
1372	0.0199	0.0152
1373	0.0200	0.0153
1374	0.0201	0.0154
1375	0.0202	0.0154
1376	0.0202	0.0155
1377	0.0202	0.0156
1378	0.0203	0.0156
1379	0.0203	0.0157
1380	0.0203	0.0158
1381	0.0205	0.0159
1382	0.0206	0.0160
1383	0.0208	0.0161
1384	0.0209	0.0162
1385	0.0210	0.0162
1386	0.0212	0.0163
1387	0.0213	0.0164
1388	0.0215	0.0165
1389	0.0216	0.0166
1390	0.0217	0.0167
1391	0.0219	0.0169
1392	0.0220	0.0170
1393	0.0221	0.0171
1394	0.0222	0.0172
1395	0.0224	0.0173
1396	0.0225	0.0174
1397	0.0227	0.0175
1398	0.0229	0.0176
1399	0.0231	0.0177
1400	0.0233	0.0178
1401	0.0235	0.0179
1402	0.0237	0.0181
1403	0.0239	0.0182
1404	0.0241	0.0184
1405	0.0243	0.0186
1406	0.0245	0.0187
1407	0.0247	0.0189
1408	0.0249	0.0190
1409	0.0251	0.0192
1410	0.0252	0.0194
1411	0.0254	0.0195
1412	0.0256	0.0196
1413	0.0258	0.0198
1414	0.0260	0.0199
1415	0.0262	0.0201
1416	0.0264	0.0202
1417	0.0266	0.0204
1418	0.0269	0.0205
1419	0.0271	0.0207
1420	0.0273	0.0209
1421	0.0275	0.0210
1422	0.0277	0.0212
1423	0.0279	0.0214
1424	0.0281	0.0216
1425	0.0283	0.0217
1426	0.0286	0.0219
1427	0.0289	0.0221
1428	0.0292	0.0223
1429	0.0295	0.0225
1430	0.0298	0.0227
1431	0.0300	0.0229
1432	0.0303	0.0231
1433	0.0305	0.0232
1434	0.0308	0.0234
1435	0.0310	0.0236
1436	0.0312	0.0238
1437	0.0315	0.0240
1438	0.0317	0.0242
1439	0.0320	0.0244
1440	0.0322	0.0246
1441	0.0325	0.0248
1442	0.0328	0.0250
1443	0.0331	0.0252
1444	0.0334	0.0255
1445	0.0337	0.0257
1446	0.0339	0.0260
1447	0.0342	0.0263
1448	0.0344	0.0266
1449	0.0347	0.0269
1450	0.0349	0.0272
1451	0.0352	0.0275
1452	0.0355	0.0278
1453	0.0357	0.0281
1454	0.0360	0.0284
1455	0.0363	0.0287
1456	0.0366	0.0289
1457	0.0369	0.0291
1458	0.0373	0.0293
1459	0.0376	0.0295
1460	0.0379	0.0296
1461	0.0383	0.0299
1462	0.0387	0.0302
1463	0.0392	0.0304
1464	0.0396	0.0307
1465	0.0400	0.0309
1466	0.0404	0.0312
1467	0.0408	0.0315
1468	0.0412	0.0317
1469	0.0415	0.0320
1470	0.0419	0.0322
1471	0.0423	0.0325
1472	0.0426	0.0327
1473	0.0429	0.0330
1474	0.0433	0.0332
1475	0.0436	0.0335
1476	0.0439	0.0337
1477	0.0442	0.0339
1478	0.0445	0.0341
1479	0.0448	0.0343
1480	0.0452	0.0346
1481	0.0455	0.0348
1482	0.0458	0.0351
1483	0.0462	0.0354
1484	0.0465	0.0356
1485	0.0469	0.0359
1486	0.0473	0.0361
1487	0.0477	0.0363
1488	0.0481	0.0364
1489	0.0485	0.0366
1490	0.0489	0.0368
1491	0.0491	0.0369
1492	0.0494	0.0370
1493	0.0496	0.0371
1494	0.0499	0.0373
1495	0.0502	0.0374
1496	0.0502	0.0374
1497	0.0503	0.0374
1498	0.0503	0.0374
1499	0.0504	0.0374
1500	0.0504	0.0375
1501	0.0504	0.0375
1502	0.0504	0.0375
1503	0.0503	0.0375
1504	0.0503	0.0375
